"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Altersgruppen","bis 17 Jahre",2023,"17 Obergiesing - Fasangarten",13.8,7442,53795,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"18 Untergiesing - Harlaching",14,7539,53909,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",15.9,16248,101992,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"20 Hadern",15.2,7829,51446,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"21 Pasing - Obermenzing",17.6,14294,81246,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"22 Aubing - Lochhausen - Langwied",20.2,11638,57502,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"23 Allach - Untermenzing",19.2,6910,35918,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"24 Feldmoching - Hasenbergl",18.1,11423,63006,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2023,"25 Laim",13.2,7468,56716,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"Stadt München",15.6,247042,1588330,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"01 Altstadt - Lehel",12.1,2527,20808,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"02 Ludwigsvorstadt - Isarvorstadt",11.8,6010,50915,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"03 Maxvorstadt",10.6,5523,52269,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"04 Schwabing - West",12.7,8685,68603,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"05 Au - Haidhausen",14.3,9042,63383,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2022,"06 Sendling",13.2,5417,41011,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
