"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Einpersonenhaushalte","bis 29 Jahre",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",17.5,4669,26716,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"20 Hadern",19.2,2335,12174,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"21 Pasing - Obermenzing",18.3,3462,18904,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"22 Aubing - Lochhausen - Langwied",18.9,1875,9937,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"23 Allach - Untermenzing",18.3,1225,6709,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"24 Feldmoching - Hasenbergl",18.9,2540,13425,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"25 Laim",20.7,3959,19147,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"Stadt München",20.3,91081,448248,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"01 Altstadt - Lehel",21.8,1722,7894,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"02 Ludwigsvorstadt - Isarvorstadt",24,4648,19352,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"03 Maxvorstadt",29.4,6316,21462,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"04 Schwabing - West",23.7,5722,24173,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"05 Au - Haidhausen",20.5,4327,21061,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"06 Sendling",20.7,2982,14419,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"07 Sendling - Westpark",21.6,4004,18545,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"08 Schwanthalerhöhe",21.7,2248,10351,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"09 Neuhausen - Nymphenburg",19.9,6323,31835,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"10 Moosach",19.6,2854,14574,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"11 Milbertshofen - Am Hart",21.2,4308,20322,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"12 Schwabing - Freimann",23.5,5120,21803,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"13 Bogenhausen",17.4,4269,24521,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"14 Berg am Laim",18.1,2471,13689,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"15 Trudering - Riem",17.4,2518,14509,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"16 Ramersdorf - Perlach",17.4,4932,28402,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"17 Obergiesing - Fasangarten",21.2,3775,17809,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"18 Untergiesing - Harlaching",18.3,3241,17667,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",17.1,4507,26421,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"20 Hadern",18.8,2265,12035,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"21 Pasing - Obermenzing",17.5,3273,18691,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2021,"22 Aubing - Lochhausen - Langwied",18.2,1768,9700,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
